1 1:0.408122 2:0.407777 3:0.38636 4:0.372549 5:0.0588235 6:0.407843 7:0.192373 8:0.224456 9:0.455346 10:0.115403 11:0.0124225 12:0.956466 13:0.0429365 14:0.000586682 15:0.499997 16:0.159888 17:0.00399813 18:0.00352661 19:0.00153624 20:0.00300077 21:0.00846344 22:0.0044653 23:0.00491075 24:0.0127006 25:0.0103278 26:0.00873505 27:0.00460872 28:0.00418065 29:0.00295514 30:0.00246407 31:0.00416762 32:0.00260313 33:0.0186326 34:0.00473692 35:0.00879372 36:0.00220332 37:0.0102474 38:0.00600589 39:0.00355703 40:0.00127766 41:0.0252838 42:0.00438925 43:0.00456091 44:0.00169486 45:0.00360701 46:0.00319851 47:0.00567561 48:0.00940865 49:0.0130591 50:0.00544311 51:0.00898493 52:0.00224026 53:0.00364829 54:0.00252491 55:0.00627533 56:0.00694893 57:0.00432624 58:0.00638615 59:0.0197821 60:0.00385255 61:0.00657953 62:0.00299643 63:0.0386993 64:0.00926089 
-1 1:0.294814 2:0.260202 3:0.243564 4:0.435294 5:0.172549 6:0.294118 7:0 8:0 9:0.0797101 10:0.92029 11:0 12:1 13:0 14:0 15:0.507246 16:0 17:0 18:0 19:0 20:0 21:0 22:0 23:0 24:0 25:0.0144928 26:0 27:0 28:0 29:0 30:0 31:0 32:0 33:0 34:0 35:0 36:0 37:0 38:0 39:0 40:0 41:0.0652174 42:0 43:0 44:0 45:0 46:0 47:0 48:0.26087 49:0 50:0 51:0.152174 52:0 53:0 54:0 55:0 56:0 57:0 58:0 59:0 60:0 61:0 62:0 63:0 64:0 
-1 1:0.30902 2:0.282696 3:0.249395 4:0.4 5:0.192157 6:0.305882 7:0 8:0 9:1 10:0 11:0 12:1 13:0 14:0 15:0.491667 16:0.504167 17:0 18:0 19:0 20:0 21:0 22:0 23:0 24:0 25:0 26:0 27:0 28:0 29:0 30:0 31:0 32:0 33:0 34:0 35:0 36:0 37:0 38:0 39:0 40:0 41:0 42:0 43:0 44:0 45:0 46:0 47:0 48:0 49:0 50:0 51:0 52:0 53:0 54:0 55:0 56:0 57:0 58:0 59:0 60:0 61:0 62:0 63:0.00416667 64:0 
-1 1:0.273055 2:0.24532 3:0.21267 4:0.407843 5:0.215686 6:0.270588 7:0 8:0 9:0.977376 10:0.0226244 11:0 12:1 13:0 14:0 15:0.488688 16:0.257919 17:0 18:0 19:0 20:0 21:0 22:0 23:0 24:0 25:0 26:0 27:0 28:0 29:0 30:0 31:0 32:0 33:0 34:0 35:0 36:0 37:0 38:0 39:0 40:0 41:0 42:0 43:0 44:0 45:0 46:0 47:0 48:0 49:0 50:0 51:0 52:0 53:0 54:0 55:0 56:0 57:0 58:0 59:0 60:0 61:0 62:0 63:0.253394 64:0 
-1 1:0.288297 2:0.26546 3:0.237182 4:0.407843 5:0.176471 6:0.286275 7:0 8:0 9:1 10:0 11:0 12:1 13:0 14:0 15:0.498576 16:0.279202 17:0 18:0 19:0 20:0 21:0 22:0 23:0 24:0 25:0 26:0 27:0 28:0 29:0 30:0 31:0 32:0 33:0.039886 34:0 35:0 36:0 37:0 38:0 39:0 40:0 41:0.034188 42:0 43:0 44:0 45:0 46:0 47:0 48:0.102564 49:0 50:0 51:0.022792 52:0 53:0 54:0 55:0 56:0 57:0 58:0 59:0 60:0 61:0 62:0 63:0.022792 64:0 
-1 1:0.29607 2:0.272184 3:0.241779 4:0.403922 5:0.188235 6:0.294118 7:0 8:0 9:1 10:0 11:0 12:1 13:0 14:0 15:0.502164 16:0.367965 17:0 18:0 19:0 20:0 21:0 22:0 23:0 24:0 25:0 26:0 27:0 28:0 29:0 30:0 31:0 32:0 33:0 34:0 35:0 36:0 37:0 38:0 39:0 40:0 41:0.0649351 42:0 43:0 44:0 45:0 46:0 47:0 48:0.0649351 49:0 50:0 51:0 52:0 53:0 54:0 55:0 56:0 57:0 58:0 59:0 60:0 61:0 62:0 63:0 64:0 
-1 1:0.30296 2:0.27772 3:0.246828 4:0.407843 5:0.196078 6:0.301961 7:0 8:0 9:1 10:0 11:0 12:1 13:0 14:0 15:0.485294 16:0.446078 17:0 18:0 19:0 20:0 21:0 22:0 23:0 24:0 25:0 26:0 27:0 28:0 29:0 30:0 31:0 32:0 33:0 34:0 35:0 36:0 37:0 38:0 39:0 40:0 41:0.0637255 42:0 43:0 44:0 45:0 46:0 47:0 48:0 49:0 50:0 51:0 52:0 53:0 54:0 55:0 56:0 57:0 58:0 59:0 60:0 61:0 62:0 63:0.00490196 64:0 
-1 1:0.315566 2:0.288115 3:0.25282 4:0.403922 5:0.2 6:0.313726 7:0 8:0 9:1 10:0 11:0 12:1 13:0 14:0 15:0.507331 16:0.492669 17:0 18:0 19:0 20:0 21:0 22:0 23:0 24:0 25:0 26:0 27:0 28:0 29:0 30:0 31:0 32:0 33:0 34:0 35:0 36:0 37:0 38:0 39:0 40:0 41:0 42:0 43:0 44:0 45:0 46:0 47:0 48:0 49:0 50:0 51:0 52:0 53:0 54:0 55:0 56:0 57:0 58:0 59:0 60:0 61:0 62:0 63:0 64:0 
-1 1:0.280195 2:0.253019 3:0.220359 4:0.407843 5:0.211765 6:0.278431 7:0 8:0 9:0.981763 10:0.0182371 11:0 12:1 13:0 14:0 15:0.489362 16:0.468085 17:0 18:0 19:0 20:0 21:0 22:0 23:0 24:0 25:0 26:0 27:0 28:0 29:0 30:0 31:0 32:0 33:0 34:0 35:0 36:0 37:0 38:0 39:0 40:0 41:0 42:0 43:0 44:0 45:0 46:0 47:0 48:0 49:0 50:0 51:0 52:0 53:0 54:0 55:0 56:0 57:0 58:0 59:0 60:0 61:0 62:0 63:0.0425532 64:0 
-1 1:0.285235 2:0.254865 3:0.230667 4:0.419608 5:0.196078 6:0.282353 7:0 8:0 9:0.514196 10:0.485804 11:0 12:1 13:0 14:0 15:0.498423 16:0.11041 17:0 18:0 19:0 20:0 21:0 22:0 23:0 24:0 25:0 26:0 27:0 28:0 29:0 30:0 31:0 32:0 33:0 34:0 35:0 36:0 37:0 38:0 39:0 40:0 41:0.104101 42:0 43:0 44:0 45:0 46:0 47:0 48:0.164038 49:0 50:0 51:0.0946372 52:0 53:0 54:0 55:0 56:0 57:0 58:0 59:0 60:0 61:0 62:0 63:0.0283912 64:0 
-1 1:0.278276 2:0.250074 3:0.217149 4:0.407843 5:0.215686 6:0.27451 7:0 8:0 9:0.930693 10:0.0693069 11:0 12:1 13:0 14:0 15:0.508251 16:0.333333 17:0 18:0 19:0 20:0 21:0 22:0 23:0 24:0 25:0 26:0 27:0 28:0 29:0 30:0 31:0 32:0 33:0 34:0 35:0 36:0 37:0 38:0 39:0 40:0 41:0.0891089 42:0 43:0 44:0 45:0 46:0 47:0 48:0 49:0 50:0 51:0 52:0 53:0 54:0 55:0 56:0 57:0 58:0 59:0 60:0 61:0 62:0 63:0.0693069 64:0 
