1 1:0.310665 2:0.318486 3:0.302244 4:0.294118 5:0.0509804 6:0.317647 7:0 8:0.289017 9:0.710983 10:0 11:0 12:1 13:0 14:0 15:0.49422 16:0 17:0.50578 18:0 19:0 20:0 21:0 22:0 23:0 24:0 25:0 26:0 27:0 28:0 29:0 30:0 31:0 32:0 33:0 34:0 35:0 36:0 37:0 38:0 39:0 40:0 41:0 42:0 43:0 44:0 45:0 46:0 47:0 48:0 49:0 50:0 51:0 52:0 53:0 54:0 55:0 56:0 57:0 58:0 59:0 60:0 61:0 62:0 63:0 64:0 
1 1:0.333976 2:0.35124 3:0.327857 4:0.27451 5:0.0666667 6:0.34902 7:0 8:0.931035 9:0.0689655 10:0 11:0 12:1 13:0 14:0 15:0.482759 16:0 17:0.00574713 18:0.0114943 19:0 20:0.0143678 21:0 22:0 23:0 24:0.0890805 25:0.0114943 26:0 27:0 28:0 29:0.00287356 30:0.0344828 31:0.00862069 32:0 33:0.00862069 34:0 35:0 36:0 37:0.0689655 38:0.00862069 39:0 40:0.0344828 41:0 42:0.0488506 43:0.0545977 44:0.00862069 45:0 46:0 47:0 48:0 49:0 50:0.0172414 51:0.0344828 52:0 53:0 54:0 55:0.0229885 56:0 57:0 58:0 59:0 60:0 61:0 62:0.00287356 63:0.00287356 64:0.0201149 
1 1:0.323742 2:0.340837 3:0.316688 4:0.27451 5:0.0705882 6:0.337255 7:0 8:0.947368 9:0.0526316 10:0 11:0 12:1 13:0 14:0 15:0.498452 16:0 17:0.501548 18:0 19:0 20:0 21:0 22:0 23:0 24:0 25:0 26:0 27:0 28:0 29:0 30:0 31:0 32:0 33:0 34:0 35:0 36:0 37:0 38:0 39:0 40:0 41:0 42:0 43:0 44:0 45:0 46:0 47:0 48:0 49:0 50:0 51:0 52:0 53:0 54:0 55:0 56:0 57:0 58:0 59:0 60:0 61:0 62:0 63:0 64:0 
1 1:0.33728 2:0.350943 3:0.332994 4:0.282353 5:0.054902 6:0.34902 7:0 8:0.836538 9:0.163462 10:0 11:0 12:1 13:0 14:0 15:0.496795 16:0 17:0.0897436 18:0.00320513 19:0 20:0 21:0 22:0 23:0 24:0 25:0 26:0 27:0 28:0 29:0 30:0 31:0.0416667 32:0 33:0.0641026 34:0 35:0 36:0 37:0 38:0.0416667 39:0 40:0 41:0 42:0 43:0 44:0 45:0 46:0 47:0 48:0 49:0 50:0 51:0 52:0 53:0 54:0 55:0 56:0 57:0 58:0 59:0 60:0 61:0 62:0.24359 63:0.0192308 64:0 
1 1:0.341649 2:0.351245 3:0.333681 4:0.294118 5:0.0431373 6:0.34902 7:0 8:0.567376 9:0.404255 10:0.0283688 11:0 12:1 13:0 14:0 15:0.496454 16:0 17:0.0035461 18:0.0496454 19:0 20:0 21:0 22:0 23:0 24:0.035461 25:0.0035461 26:0 27:0.0496454 28:0 29:0 30:0 31:0.0283688 32:0 33:0.0212766 34:0 35:0 36:0 37:0.0035461 38:0.0567376 39:0 40:0.0035461 41:0 42:0.0460993 43:0.0248227 44:0.0425532 45:0 46:0 47:0 48:0 49:0 50:0.0141844 51:0.0390071 52:0 53:0 54:0 55:0 56:0.0070922 57:0 58:0 59:0 60:0 61:0 62:0.0248227 63:0.0106383 64:0.0319149 
1 1:0.319053 2:0.333222 3:0.308312 4:0.294118 5:0.0705882 6:0.329412 7:0 8:0.610063 9:0.389937 10:0 11:0 12:1 13:0 14:0 15:0.490566 16:0 17:0.289308 18:0 19:0 20:0 21:0 22:0 23:0 24:0 25:0 26:0 27:0 28:0 29:0 30:0 31:0 32:0 33:0 34:0 35:0 36:0 37:0 38:0 39:0 40:0 41:0 42:0.0220126 43:0 44:0 45:0 46:0 47:0 48:0 49:0 50:0 51:0 52:0 53:0 54:0 55:0 56:0 57:0 58:0 59:0 60:0 61:0 62:0.198113 63:0 64:0 
1 1:0.322043 2:0.336383 3:0.311637 4:0.294118 5:0.0705882 6:0.333333 7:0 8:0.552288 9:0.447712 10:0 11:0 12:1 13:0 14:0 15:0.496732 16:0 17:0.503268 18:0 19:0 20:0 21:0 22:0 23:0 24:0 25:0 26:0 27:0 28:0 29:0 30:0 31:0 32:0 33:0 34:0 35:0 36:0 37:0 38:0 39:0 40:0 41:0 42:0 43:0 44:0 45:0 46:0 47:0 48:0 49:0 50:0 51:0 52:0 53:0 54:0 55:0 56:0 57:0 58:0 59:0 60:0 61:0 62:0 63:0 64:0 
1 1:0.333825 2:0.341695 3:0.324998 4:0.305882 5:0.0588235 6:0.341176 7:0 8:0.342373 9:0.657627 10:0 11:0 12:1 13:0 14:0 15:0.494915 16:0 17:0.0983051 18:0.0576271 19:0 20:0 21:0 22:0 23:0 24:0.0338983 25:0.0101695 26:0 27:0 28:0 29:0 30:0 31:0.142373 32:0 33:0.00677966 34:0 35:0 36:0 37:0 38:0.0101695 39:0 40:0.061017 41:0 42:0 43:0 44:0 45:0 46:0 47:0 48:0 49:0 50:0 51:0 52:0 53:0 54:0 55:0 56:0 57:0 58:0 59:0 60:0 61:0 62:0.0542373 63:0.0271186 64:0 
1 1:0.322644 2:0.337977 3:0.314515 4:0.27451 5:0.0705882 6:0.337255 7:0 8:0.809028 9:0.190972 10:0 11:0 12:1 13:0 14:0 15:0.510417 16:0 17:0.0104167 18:0.0729167 19:0 20:0 21:0 22:0 23:0 24:0.03125 25:0.0347222 26:0 27:0.0243056 28:0 29:0 30:0 31:0.00694444 32:0 33:0.0138889 34:0 35:0 36:0 37:0 38:0.0243056 39:0 40:0.0138889 41:0 42:0.135417 43:0.0104167 44:0 45:0 46:0 47:0 48:0 49:0 50:0.0277778 51:0.0243056 52:0.0104167 53:0 54:0 55:0.00694444 56:0 57:0 58:0 59:0 60:0 61:0 62:0.0347222 63:0.00694444 64:0 
1 1:0.338904 2:0.347297 3:0.330318 4:0.294118 5:0.0470588 6:0.345098 7:0 8:0.405303 9:0.594697 10:0 11:0 12:1 13:0 14:0 15:0.511364 16:0 17:0.00757576 18:0.00378788 19:0 20:0.030303 21:0 22:0 23:0 24:0.106061 25:0.00757576 26:0 27:0.0454545 28:0 29:0 30:0.0113636 31:0.00378788 32:0 33:0 34:0 35:0 36:0 37:0 38:0 39:0 40:0.0416667 41:0 42:0.0833333 43:0.030303 44:0 45:0 46:0 47:0 48:0 49:0 50:0 51:0.0378788 52:0 53:0.0113636 54:0 55:0.0340909 56:0 57:0 58:0 59:0 60:0 61:0 62:0.0265152 63:0.00378788 64:0 
1 1:0.33393 2:0.345033 3:0.328395 4:0.294118 5:0.0470588 6:0.341176 7:0 8:0.609053 9:0.390947 10:0 11:0 12:1 13:0 14:0 15:0.506173 16:0 17:0 18:0.0658436 19:0 20:0.0123457 21:0 22:0 23:0 24:0.0534979 25:0.0164609 26:0 27:0 28:0 29:0 30:0.0288066 31:0.0246914 32:0 33:0 34:0 35:0 36:0 37:0.0123457 38:0 39:0 40:0.0699589 41:0 42:0.0246914 43:0.0123457 44:0 45:0.0164609 46:0 47:0 48:0 49:0.00823045 50:0 51:0.0329218 52:0 53:0.0246914 54:0 55:0.0411523 56:0.00411523 57:0 58:0 59:0.00411523 60:0 61:0 62:0.00411523 63:0.037037 64:0 
1 1:0.332317 2:0.344018 3:0.323013 4:0.282353 5:0.0588235 6:0.341176 7:0 8:0.587045 9:0.412955 10:0 11:0 12:1 13:0 14:0 15:0.481781 16:0 17:0.00404858 18:0.105263 19:0 20:0.00404858 21:0 22:0 23:0 24:0.0526316 25:0.0242915 26:0 27:0 28:0 29:0 30:0.0323887 31:0.133603 32:0 33:0 34:0 35:0 36:0 37:0 38:0.00809717 39:0 40:0.0688259 41:0 42:0 43:0.00404858 44:0.0161943 45:0 46:0 47:0 48:0 49:0 50:0 51:0 52:0.00404858 53:0 54:0 55:0.0202429 56:0 57:0 58:0 59:0 60:0 61:0 62:0.0161943 63:0.0121457 64:0 
1 1:0.33652 2:0.351302 3:0.332506 4:0.258824 5:0.054902 6:0.34902 7:0 8:0.925781 9:0.0742188 10:0 11:0 12:1 13:0 14:0 15:0.492188 16:0 17:0.00390625 18:0.0351562 19:0 20:0 21:0 22:0 23:0 24:0.0898438 25:0 26:0 27:0.078125 28:0 29:0 30:0.0078125 31:0.0078125 32:0 33:0 34:0 35:0 36:0 37:0 38:0.0117188 39:0 40:0.03125 41:0 42:0.0820312 43:0.0195312 44:0.0351562 45:0 46:0 47:0 48:0 49:0 50:0.0117188 51:0.0390625 52:0 53:0 54:0 55:0.00390625 56:0 57:0 58:0 59:0 60:0 61:0 62:0.0078125 63:0.0078125 64:0.0351562 
1 1:0.32739 2:0.342678 3:0.32333 4:0.258824 5:0.0588235 6:0.341176 7:0 8:0.949219 9:0.0507812 10:0 11:0 12:1 13:0 14:0 15:0.5 16:0 17:0 18:0.00390625 19:0 20:0.015625 21:0 22:0 23:0 24:0.152344 25:0.0078125 26:0 27:0.0351562 28:0 29:0 30:0.0273438 31:0.015625 32:0 33:0 34:0 35:0 36:0 37:0 38:0.00390625 39:0 40:0.0546875 41:0 42:0.09375 43:0.0273438 44:0 45:0 46:0 47:0 48:0 49:0.0078125 50:0.00390625 51:0.0117188 52:0 53:0 54:0 55:0.0273438 56:0 57:0 58:0 59:0 60:0 61:0 62:0.00390625 63:0.0078125 64:0 
1 1:0.336929 2:0.347946 3:0.331364 4:0.266667 5:0.0470588 6:0.345098 7:0 8:0.622407 9:0.377593 10:0 11:0 12:1 13:0 14:0 15:0.506224 16:0 17:0.282158 18:0 19:0 20:0 21:0 22:0 23:0 24:0.00829876 25:0.00829876 26:0 27:0 28:0 29:0 30:0.0207469 31:0.0622407 32:0 33:0.0165975 34:0 35:0 36:0 37:0 38:0 39:0 40:0.0497925 41:0 42:0 43:0 44:0 45:0 46:0 47:0 48:0 49:0 50:0 51:0 52:0 53:0 54:0 55:0 56:0 57:0 58:0 59:0 60:0 61:0 62:0.0290456 63:0.0165975 64:0 
1 1:0.340739 2:0.356145 3:0.336572 4:0.258824 5:0.054902 6:0.352941 7:0 8:0.977679 9:0.0223214 10:0 11:0 12:1 13:0 14:0 15:0.5 16:0 17:0.0223214 18:0.0133929 19:0 20:0 21:0 22:0 23:0 24:0 25:0 26:0 27:0 28:0 29:0 30:0 31:0.133929 32:0 33:0.0223214 34:0 35:0 36:0 37:0 38:0.0133929 39:0 40:0 41:0 42:0 43:0 44:0.03125 45:0 46:0 47:0 48:0 49:0 50:0.00446429 51:0 52:0.00892857 53:0 54:0 55:0 56:0 57:0 58:0 59:0 60:0 61:0 62:0.25 63:0 64:0 
